Season/Team,is_goalie,Passing,Receiving,Frequency,Passing_Sum_Frequency,Pass Probability,player_id_x,season_starts_x,average_location_x,row_id_x,player_id_y,season_starts_y,average_location_y,row_id_y,pass_completed,source,target,source_x,source_y,target_x,target_y
La Liga 2006/2007 Barcelona,0,Ronaldo de Assis Moreira,Xavier Hernández Creus,122.0,853.0,0.143024619,25879,23,"[72.29072681704261, 27.31804511278195]",3,20131,22,"[58.79875311720693, 45.45374064837906]",4,1.9442231075697212,Ronaldo de Assis Moreira,Xavier Hernández Creus,0.6024227234753551,0.34147556390977435,0.48998960931005775,0.5681717581047383
La Liga 2006/2007 Barcelona,0,Xavier Hernández Creus,Ronaldo de Assis Moreira,165.0,1381.5,0.119435396,20131,22,"[58.79875311720693, 45.45374064837906]",4,25879,23,"[72.29072681704261, 27.31804511278195]",3,2.6294820717131473,Xavier Hernández Creus,Ronaldo de Assis Moreira,0.48998960931005775,0.5681717581047383,0.6024227234753551,0.34147556390977435
La Liga 2006/2007 Barcelona,0,Ronaldo de Assis Moreira,Anderson Luís de Souza,144.0,853.0,0.168815944,25879,23,"[72.29072681704261, 27.31804511278195]",3,19757,21,"[63.57812499999997, 33.80243055555558]",6,2.2948207171314743,Ronaldo de Assis Moreira,Anderson Luís de Souza,0.6024227234753551,0.34147556390977435,0.5298177083333331,0.42253038194444476
La Liga 2006/2007 Barcelona,1,Víctor Valdés Arribas,Ronaldo de Assis Moreira,30.0,354.0,0.084745763,20176,26,"[12.457487922705308, 41.81787439613525]",0,25879,23,"[72.29072681704261, 27.31804511278195]",3,0.47808764940239046,Víctor Valdés Arribas,Ronaldo de Assis Moreira,0.10381239935587756,0.5227234299516906,0.6024227234753551,0.34147556390977435
La Liga 2006/2007 Barcelona,0,Xavier Hernández Creus,Lilian Thuram,103.0,1381.5,0.074556641,20131,22,"[58.79875311720693, 45.45374064837906]",4,15071,18,"[34.90507726269319, 51.78697571743927]",8,1.6414342629482073,Xavier Hernández Creus,Lilian Thuram,0.48998960931005775,0.5681717581047383,0.2908756438557766,0.6473371964679908
La Liga 2006/2007 Barcelona,0,Lilian Thuram,Lionel Andrés Messi Cuccittini,52.0,817.0,0.063647491,15071,18,"[34.90507726269319, 51.78697571743927]",8,5503,23,"[75.86988636363634, 51.0440340909091]",2,0.8286852589641435,Lilian Thuram,Lionel Andrés Messi Cuccittini,0.2908756438557766,0.6473371964679908,0.6322490530303029,0.6380504261363638
La Liga 2006/2007 Barcelona,0,Giovanni van Bronckhorst,Ronaldo de Assis Moreira,139.0,661.0,0.210287443,17797,15,"[53.05326086956522, 12.144927536231886]",10,25879,23,"[72.29072681704261, 27.31804511278195]",3,2.2151394422310755,Giovanni van Bronckhorst,Ronaldo de Assis Moreira,0.44211050724637685,0.15181159420289858,0.6024227234753551,0.34147556390977435
La Liga 2006/2007 Barcelona,0,Lilian Thuram,Gianluca Zambrotta,96.0,817.0,0.11750306,15071,18,"[34.90507726269319, 51.78697571743927]",8,15774,21,"[51.58337801608577, 56.95093833780166]",5,1.5298804780876494,Lilian Thuram,Gianluca Zambrotta,0.2908756438557766,0.6473371964679908,0.4298614834673814,0.7118867292225207
La Liga 2006/2007 Barcelona,0,Gianluca Zambrotta,Xavier Hernández Creus,175.0,885.0,0.197740113,15774,21,"[51.58337801608577, 56.95093833780166]",5,20131,22,"[58.79875311720693, 45.45374064837906]",4,2.7888446215139444,Gianluca Zambrotta,Xavier Hernández Creus,0.4298614834673814,0.7118867292225207,0.48998960931005775,0.5681717581047383
La Liga 2006/2007 Barcelona,0,Xavier Hernández Creus,Gianluca Zambrotta,157.0,1381.5,0.113644589,20131,22,"[58.79875311720693, 45.45374064837906]",4,15774,21,"[51.58337801608577, 56.95093833780166]",5,2.50199203187251,Xavier Hernández Creus,Gianluca Zambrotta,0.48998960931005775,0.5681717581047383,0.4298614834673814,0.7118867292225207
La Liga 2006/2007 Barcelona,0,Giovanni van Bronckhorst,Anderson Luís de Souza,95.0,661.0,0.143721634,17797,15,"[53.05326086956522, 12.144927536231886]",10,19757,21,"[63.57812499999997, 33.80243055555558]",6,1.5139442231075697,Giovanni van Bronckhorst,Anderson Luís de Souza,0.44211050724637685,0.15181159420289858,0.5298177083333331,0.42253038194444476
La Liga 2006/2007 Barcelona,0,Anderson Luís de Souza,Lilian Thuram,52.0,1067.0,0.04873477,19757,21,"[63.57812499999997, 33.80243055555558]",6,15071,18,"[34.90507726269319, 51.78697571743927]",8,0.8286852589641435,Anderson Luís de Souza,Lilian Thuram,0.5298177083333331,0.42253038194444476,0.2908756438557766,0.6473371964679908
La Liga 2006/2007 Barcelona,0,Gianluca Zambrotta,Lilian Thuram,147.0,885.0,0.166101695,15774,21,"[51.58337801608577, 56.95093833780166]",5,15071,18,"[34.90507726269319, 51.78697571743927]",8,2.3426294820717133,Gianluca Zambrotta,Lilian Thuram,0.4298614834673814,0.7118867292225207,0.2908756438557766,0.6473371964679908
La Liga 2006/2007 Barcelona,0,Lilian Thuram,Xavier Hernández Creus,164.0,817.0,0.200734394,15071,18,"[34.90507726269319, 51.78697571743927]",8,20131,22,"[58.79875311720693, 45.45374064837906]",4,2.6135458167330676,Lilian Thuram,Xavier Hernández Creus,0.2908756438557766,0.6473371964679908,0.48998960931005775,0.5681717581047383
La Liga 2006/2007 Barcelona,0,Ronaldo de Assis Moreira,Giovanni van Bronckhorst,75.0,853.0,0.087924971,25879,23,"[72.29072681704261, 27.31804511278195]",3,17797,15,"[53.05326086956522, 12.144927536231886]",10,1.1952191235059761,Ronaldo de Assis Moreira,Giovanni van Bronckhorst,0.6024227234753551,0.34147556390977435,0.44211050724637685,0.15181159420289858
La Liga 2006/2007 Barcelona,0,Giovanni van Bronckhorst,Carles Puyol i Saforcada,116.0,661.0,0.175491679,17797,15,"[53.05326086956522, 12.144927536231886]",10,20125,23,"[37.96269531250002, 30.09843749999999]",1,1.848605577689243,Giovanni van Bronckhorst,Carles Puyol i Saforcada,0.44211050724637685,0.15181159420289858,0.3163557942708335,0.3762304687499999
La Liga 2006/2007 Barcelona,0,Carles Puyol i Saforcada,Anderson Luís de Souza,124.0,948.5,0.130732736,20125,23,"[37.96269531250002, 30.09843749999999]",1,19757,21,"[63.57812499999997, 33.80243055555558]",6,1.9760956175298805,Carles Puyol i Saforcada,Anderson Luís de Souza,0.3163557942708335,0.3762304687499999,0.5298177083333331,0.42253038194444476
La Liga 2006/2007 Barcelona,0,Carles Puyol i Saforcada,Giovanni van Bronckhorst,155.0,948.5,0.16341592,20125,23,"[37.96269531250002, 30.09843749999999]",1,17797,15,"[53.05326086956522, 12.144927536231886]",10,2.4701195219123506,Carles Puyol i Saforcada,Giovanni van Bronckhorst,0.3163557942708335,0.3762304687499999,0.44211050724637685,0.15181159420289858
La Liga 2006/2007 Barcelona,0,Lilian Thuram,Carles Puyol i Saforcada,170.0,817.0,0.208078335,15071,18,"[34.90507726269319, 51.78697571743927]",8,20125,23,"[37.96269531250002, 30.09843749999999]",1,2.7091633466135456,Lilian Thuram,Carles Puyol i Saforcada,0.2908756438557766,0.6473371964679908,0.3163557942708335,0.3762304687499999
La Liga 2006/2007 Barcelona,0,Carles Puyol i Saforcada,Lilian Thuram,167.0,948.5,0.176067475,20125,23,"[37.96269531250002, 30.09843749999999]",1,15071,18,"[34.90507726269319, 51.78697571743927]",8,2.6613545816733066,Carles Puyol i Saforcada,Lilian Thuram,0.3163557942708335,0.3762304687499999,0.2908756438557766,0.6473371964679908
La Liga 2006/2007 Barcelona,0,Lilian Thuram,Anderson Luís de Souza,78.0,817.0,0.095471236,15071,18,"[34.90507726269319, 51.78697571743927]",8,19757,21,"[63.57812499999997, 33.80243055555558]",6,1.2430278884462151,Lilian Thuram,Anderson Luís de Souza,0.2908756438557766,0.6473371964679908,0.5298177083333331,0.42253038194444476
La Liga 2006/2007 Barcelona,0,Lilian Thuram,Samuel Eto''o Fils,14.0,817.0,0.017135863,15071,18,"[34.90507726269319, 51.78697571743927]",8,19298,17,"[77.00602409638556, 34.99397590361444]",9,0.22310756972111553,Lilian Thuram,Samuel Eto''o Fils,0.2908756438557766,0.6473371964679908,0.6417168674698797,0.43742469879518053
La Liga 2006/2007 Barcelona,0,Xavier Hernández Creus,Anderson Luís de Souza,168.0,1381.5,0.121606949,20131,22,"[58.79875311720693, 45.45374064837906]",4,19757,21,"[63.57812499999997, 33.80243055555558]",6,2.6772908366533863,Xavier Hernández Creus,Anderson Luís de Souza,0.48998960931005775,0.5681717581047383,0.5298177083333331,0.42253038194444476
La Liga 2006/2007 Barcelona,0,Carles Puyol i Saforcada,Ronaldo de Assis Moreira,36.0,948.5,0.037954665,20125,23,"[37.96269531250002, 30.09843749999999]",1,25879,23,"[72.29072681704261, 27.31804511278195]",3,0.5737051792828686,Carles Puyol i Saforcada,Ronaldo de Assis Moreira,0.3163557942708335,0.3762304687499999,0.6024227234753551,0.34147556390977435
